pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2021-12-31 03:30:02 03:30 12-31-21 0C100500 23.179 0.000 69306 70749 30.4 53.2 0.0 0.301 0.000 494.0
2021-12-31 03:31:01 03:30 12-31-21 0C100500 23.179 0.000 69306 70749 30.4 53.2 0.0 0.301 0.000 494.0
2021-12-31 03:32:02 03:32 12-31-21 0C100500 22.461 0.000 69298 70742 30.4 53.0 0.0 0.305 0.000 494.0
2021-12-31 03:33:01 03:33 12-31-21 0C100500 22.998 0.000 69303 70745 30.4 53.1 0.0 0.303 0.000 494.0
2021-12-31 03:34:00 03:33 12-31-21 0C100500 22.998 0.000 69303 70745 30.4 53.1 0.0 0.303 0.000 494.0
2021-12-31 03:35:01 03:34 12-31-21 0C100500 23.571 0.000 69283 70726 30.4 53.0 0.0 0.303 0.000 494.0
2021-12-31 03:36:01 03:35 12-31-21 0C100500 23.466 0.000 69287 70730 30.4 52.9 0.0 0.301 0.000 494.0
2021-12-31 03:37:01 03:37 12-31-21 0C100500 23.725 0.000 69285 70726 30.4 52.9 0.0 0.300 0.000 494.0
2021-12-31 03:38:01 03:38 12-31-21 0C100500 23.805 0.000 69283 70724 30.4 53.3 0.0 0.300 0.000 494.0
2021-12-31 03:39:00 03:38 12-31-21 0C100500 23.805 0.000 69283 70724 30.4 53.3 0.0 0.300 0.000 494.0
